epoch,L_ins,I_NCE
1,6.092411,0.143959
2,5.745141,0.491228
3,5.653060,0.583309
4,5.616477,0.619893
5,5.590687,0.645683
6,5.555072,0.681297
7,5.541883,0.694486
8,5.516847,0.719523
9,5.505499,0.730871
10,5.493767,0.742602
11,5.485334,0.751036
12,5.479504,0.756865
13,5.473281,0.763088
14,5.471761,0.764608
15,5.468940,0.767430
16,5.466902,0.769468
17,5.466781,0.769589
18,5.462706,0.773663
19,5.462920,0.773450
20,5.460847,0.775522
21,5.462769,0.773601
22,5.455807,0.780562
23,5.461720,0.774650
24,5.461988,0.774382
25,5.461635,0.774734
26,5.458174,0.778196
27,5.454205,0.782165
28,5.455864,0.780505
29,5.455829,0.780541
30,5.455553,0.780817
31,5.455067,0.781303
32,5.454817,0.781553
33,5.454528,0.781841
34,5.452471,0.783898
35,5.451455,0.784915
36,5.451611,0.784758
37,5.449810,0.786560
38,5.453169,0.783201
