epoch,L_ins,I_NCE
1,6.203494,0.032875
2,6.119974,0.116395
3,6.081131,0.155239
4,6.069952,0.166418
5,6.060733,0.175636
6,6.044828,0.191541
7,6.034912,0.201458
8,6.023159,0.213211
9,6.016175,0.220194
10,6.008081,0.228288
11,5.999163,0.237206
12,5.993478,0.242891
13,5.983704,0.252665
14,5.983552,0.252817
15,5.981995,0.254374
16,5.977510,0.258859
17,5.968832,0.267538
18,5.970773,0.265597
19,5.974096,0.262274
20,5.971538,0.264831
21,5.970268,0.266102
22,5.973655,0.262715
23,5.975150,0.261219
24,5.973530,0.262840
25,5.972204,0.264165
26,5.969464,0.266906
27,5.971794,0.264576
