Gene,Peak,Distance
Ppp1r14c,chr10:3940880-3941778,574823.0
Plekhg1,chr10:3940880-3941778,200516.0
Zbtb2,chr10:4346516-4347403,20559.0
Vip,chr10:5437708-5438495,201510.0
Ltv1,chr10:13289339-13290225,111199.0
Vta1,chr10:13874755-13875587,780000.0
Map7,chr10:20585839-20586649,437368.0
Ahi1,chr10:20632088-20632897,320459.0
Hbs1l,chr10:21342202-21343031,46223.0
Rps12,chr10:23674458-23675361,110725.0
Slc18b1,chr10:23674458-23675361,122528.0
Enpp1,chr10:24823292-24824155,185378.0
Lama2,chr10:26950225-26951054,29811.0
Hint3,chr10:30655452-30656325,47311.0
Hddc2,chr10:30655452-30656325,657931.0
Rwdd1,chr10:34663768-34664618,667213.0
Lama4,chr10:38847898-38848553,117617.0
Mical1,chr10:41926467-41927334,450153.0
Cep57l1,chr10:41926467-41927334,207627.0
Hsf2,chr10:59899279-59900197,2412894.0
Smpdl3a,chr10:59899279-59900197,2104944.0
Ascc1,chr10:59936009-59936809,66796.0
Aifm2,chr10:61679831-61680718,35432.0
Supv3l1,chr10:63156681-63157608,727472.0
Sirt1,chr10:63156681-63157608,162324.0
Ank3,chr10:68606711-68607499,792062.0
Tfam,chr10:71476490-71477331,251026.0
Pcbp3,chr10:76816367-76817160,54510.0
Mier2,chr10:79575378-79576222,35133.0
Wdr18,chr10:79592219-79593058,367933.0
Cnn2,chr10:79592219-79593058,396365.0
Ndufs7,chr10:80883744-80884619,634623.0
Jsrp1,chr10:80883744-80884619,75248.0
Lingo3,chr10:80883744-80884619,50943.0
Gadd45b,chr10:80883744-80884619,46329.0
Mrpl54,chr10:80883744-80884619,380969.0
Mfsd12,chr10:80883744-80884619,473747.0
Gm10778,chr10:80883744-80884619,765315.0
Zfp433,chr10:80883744-80884619,821081.0
Gm4767,chr10:82698681-82699528,886495.0
Appl2,chr10:83543539-83544470,56494.0
Atp2b1,chr10:99262826-99263645,348420.0
Osbpl8,chr10:111422395-111423309,257643.0
Thap2,chr10:115664267-115665113,295863.0
Nup107,chr10:118057556-118058434,306935.0
Kif5a,chr10:126952699-126953630,272997.0
R3hdm2,chr10:127730078-127730962,349751.0
Naca,chr10:127955948-127956795,79627.0
Esyt1,chr10:127955948-127956795,554017.0
Sarnp,chr10:127955948-127956795,861385.0
Eif4enif1,chr11:3266008-3266896,63616.0
Pes1,chr11:3396296-3397205,567679.0
Ccdc157,chr11:4619897-4620738,478774.0
Camk2b,chr11:6048273-6048848,78629.0
Ddx56,chr11:6109864-6110596,149055.0
Ddc,chr11:12578888-12579785,764787.0
Vstm2a,chr11:12578888-12579785,3678836.0
Wdr92,chr11:21051432-21052312,3869325.0
C1d,chr11:21051432-21052312,3793853.0
Meis1,chr11:21051432-21052312,2171615.0
Otx1,chr11:22811208-22812065,816444.0
Pus10,chr11:24315925-24316718,650251.0
Papolg,chr11:24315925-24316718,453279.0
Acyp2,chr11:30275262-30276168,230729.0
Chac2,chr11:31613957-31614760,637250.0
Asb3,chr11:30275262-30276168,610154.0
Sh3pxd2b,chr11:31613957-31614760,733863.0
Adra1b,chr11:45007861-45008742,1233255.0
Gfpt2,chr11:50403211-50404078,609033.0
Rnf130,chr11:50403211-50404078,377865.0
Zfp354a,chr11:50717279-50718181,341978.0
Skp1a,chr11:52446963-52447796,214968.0
Vdac1,chr11:52446963-52447796,86103.0
Gm12212,chr11:52446963-52447796,1015416.0
Shroom1,chr11:52446963-52447796,1010242.0
Atox1,chr11:56574863-56575789,1128222.0
Mrpl22,chr11:57396087-57396958,775574.0
Obscn,chr11:60397010-60397811,1402754.0
Tnfrsf13b,chr11:61150444-61151188,23689.0
Ncor1,chr11:63004584-63005390,688158.0
Trpv2,chr11:63004584-63005390,430098.0
Myh10,chr11:69118569-69119171,427010.0
Rpl26,chr11:69118569-69119171,216986.0
Trappc1,chr11:69118569-69119171,205411.0
Cyb5d1,chr11:69118569-69119171,273356.0
Tmem88,chr11:69118569-69119171,277950.0
Acadvl,chr11:70188987-70189842,178804.0
Eno3,chr11:70516139-70516981,141063.0
Rpain,chr11:70516139-70516981,454074.0
Txndc17,chr11:72501955-72502788,294408.0
Ube2g1,chr11:72501955-72502788,105328.0
Emc6,chr11:73104265-73105141,71254.0
Dph1,chr11:76290181-76291017,1112538.0
Rpa1,chr11:76290181-76291017,992015.0
Vps53,chr11:76290181-76291017,243955.0
Vtn,chr11:79065505-79066368,566414.0
Ddx52,chr11:83556110-83556970,385952.0
Spag9,chr11:93856084-93856980,140007.0
Luc7l3,chr11:93856084-93856980,431806.0
Mrpl27,chr11:94928569-94929461,274802.0
Kat7,chr11:94928569-94929461,345690.0
Phb,chr11:95791458-95792333,124501.0
Sp2,chr11:97072307-97073211,118966.0
Psmb3,chr11:98080188-98081061,376789.0
Nr1d1,chr11:98509136-98509985,258796.0
Casc3,chr11:98509136-98509985,295769.0
Slc25a39,chr11:102338446-102339260,64539.0
Gfap,chr11:102898118-102899026,10782.0
Mapt,chr11:104246125-104246974,14735.0
Myl4,chr11:104246125-104246974,304538.0
Kpna2,chr11:107027636-107028546,39007.0
Cog1,chr11:113803223-113803928,154054.0
D11Wsu47e,chr11:113803223-113803928,118811.0
Cdc42ep4,chr11:113803223-113803928,76373.0
Kif19a,chr11:114536863-114537749,228525.0
Caskin2,chr11:115419652-115420519,379531.0
Mxra7,chr11:116914200-116914816,111138.0
Rbfox3,chr11:117949359-117950197,540403.0
Dus1l,chr11:120833607-120834468,44406.0
Ccdc57,chr11:120833607-120834468,7078.0
Naa38,chr11:69118569-69119171,276918.0
Pfn4,chr12:4401467-4402390,367555.0
Fkbp1b,chr12:4401467-4402390,431707.0
Ttc32,chr12:9166089-9166740,136092.0
Ddx1,chr12:13214604-13215472,2369.0
E2f6,chr12:17148629-17149506,337666.0
Cpsf3,chr12:25219706-25220529,3934315.0
Trappc12,chr12:28800010-28800869,109382.0
Myt1l,chr12:29644527-29645257,116143.0
Dld,chr12:31343260-31344153,11983.0
Cbll1,chr12:31343260-31344153,141569.0
Nampt,chr12:32987915-32988859,168370.0
Dgkb,chr12:33333604-33334519,4484122.0
Zfp277,chr12:44803947-44804797,4488901.0
Coch,chr12:52389432-52390056,796091.0
Gemin2,chr12:56241486-56242381,2771907.0
Trappc6b,chr12:56241486-56242381,2801606.0
Rps29,chr12:69474654-69475574,316932.0
Atl1,chr12:69646223-69647113,246391.0
Dact1,chr12:71840283-71841177,530399.0
Rtn1,chr12:72304954-72305763,93202.0
Dhrs7,chr12:72304954-72305763,345399.0
Rhoj,chr12:75308174-75308913,148.0
Atp6v1d,chr12:79488513-79489392,647788.0
Plekhd1,chr12:80795077-80795957,102486.0
Cox16,chr12:81055019-81055892,304007.0
Npc2,chr12:84545779-84546646,208783.0
Nek9,chr12:85169321-85170077,130193.0
Ift43,chr12:86158636-86159305,76095.0
Gstz1,chr12:86931970-86932865,215195.0
Samd15,chr12:86931970-86932865,267753.0
Vipas39,chr12:86931970-86932865,306898.0
Ston2,chr12:91672243-91673087,39234.0
Calm1,chr12:100242043-100242907,42608.0
Ccdc88c,chr12:100586491-100587301,325032.0
Ifi27,chr12:103202566-103203425,231645.0
Eml1,chr12:108395846-108396715,24889.0
Hsp90aa1,chr12:111425106-111425746,734501.0
Adssl1,chr12:112742857-112743712,122812.0
Btbd6,chr12:112742857-112743712,233625.0
Brf1,chr12:112742857-112743712,217228.0
Vipr2,chr12:116315169-116316035,237443.0
Rapgef5,chr12:116948290-116949193,568189.0
Ryr2,chr13:14063083-14063957,2509981.0
Actn2,chr13:14063083-14063957,1793657.0
Lgals8,chr13:14063083-14063957,1623668.0
Gpr137b,chr13:14063083-14063957,705463.0
B3galnt2,chr13:14063083-14063957,108614.0
Stard3nl,chr13:18956821-18957762,400855.0
Cdkal1,chr13:29370667-29371529,178921.0
Prpf4b,chr13:34248877-34249799,626425.0
Riok1,chr13:36265059-36265950,1771936.0
Phactr1,chr13:42593258-42594154,87365.0
Tbc1d7,chr13:42593258-42594154,558482.0
Dtnbp1,chr13:45108662-45109457,186587.0
Kdm1b,chr13:47700525-47701431,657026.0
Spin1,chr13:49681667-49682553,1419213.0
Gadd45g,chr13:53233126-53234020,1386448.0
Slc35d2,chr13:64740444-64741304,644136.0
Ctsl,chr13:64740444-64741304,381107.0
Srd5a1,chr13:69372900-69373760,200549.0
Zfp825,chr13:72198434-72199250,2281620.0
Ttc37,chr13:72198434-72199250,3900300.0
Arsb,chr13:93612660-93613570,158970.0
Ap3b1,chr13:94375646-94376514,16686.0
Wdr41,chr13:94474321-94475182,502023.0
Trim23,chr13:105188412-105189267,1009615.0
